BuzzFeedNews,        If Dana Rohrabacher Keeps His Seat In Congress, He'll Owe The Victory To Legal Pot      ,https://www.buzzfeednews.com/article/salvadorhernandez/dana-rohrabacher-marijuana-legal-cannabis-donations
BuzzFeedNews,        Tyler Oakley Went On Grindr To Convince Gays To Vote, And They Are Ready To Come Out      ,https://www.buzzfeed.com/joshuagmoradel/tyler-oakley-went-on-grindr-to-convince-gays-to-vote-and
BuzzFeedNews,        The Story Behind The Most Devastating Line In This Year's Campaign      ,https://www.buzzfeednews.com/article/darrensands/andrew-gillum-desantis-racists-believe-racist
BuzzFeedNews,        Saudi Arabia Sought To Create A New Media Project Months Before Journalist's Murder      ,https://www.buzzfeednews.com/article/emilytamkin/saudi-arabia-sought-to-create-a-new-media-project-months
BuzzFeedNews,        Here's How We're Covering Voting And Cybersecurity On Election Day      ,https://www.buzzfeednews.com/article/kevincollier/election-day-voting-cybersecurity
BuzzFeedNews,        The Trump Administration, Again, Asks The Supreme Court To Hear A DACA Case      ,https://www.buzzfeednews.com/article/chrisgeidner/trump-administration-supreme-court-daca-again
BuzzFeedNews,        Pot Stores Could Open In DC If Democrats Win Back The House      ,https://www.buzzfeednews.com/article/dominicholden/dc-legal-marijuana-sales-democrats-win-house
BuzzFeedNews,        Tears, Fears, And Cheeseburgers: Inside The Chaotic Final Days Of California’s Pivotal House Races      ,https://www.buzzfeednews.com/article/alexislevinson/tears-fears-and-cheeseburgers-inside-the-chaotic-final-days
BuzzFeedNews,        They Are Not Old Enough To Vote, But These Kids Will Make You Want To Run To The Polls      ,https://www.buzzfeed.com/joshuagmoradel/kids-will-make-you-want-to-run-to-the-polls
BuzzFeedNews,        Trump And Sessions Vowed To Punish Election “Fraud,” Raising Fears Of Voter Intimidation      ,https://www.buzzfeednews.com/article/dominicholden/jeff-sessions-voter-fraud-election-monitors-intimidation
BuzzFeedNews,        Can A Democrat Still Win With “Hope And Change”?      ,https://www.buzzfeednews.com/article/rubycramer/aftab-pureval-ohio-midterm-elections-change
BuzzFeedNews,        Donald Trump Just Tied Himself Tightly To The Outcome Of Tuesday’s Elections      ,https://www.buzzfeednews.com/article/henrygomez/donald-trump-midterm-elections-results-referendum
BuzzFeedNews,        Native Americans Aren’t Fighting For Democrats In North Dakota — They’re Fighting For Their Voice      ,https://www.buzzfeednews.com/article/mollyhensleyclancy/native-americans-voting-rights-north-dakota-elections
BuzzFeedNews,        A Historic Number Of Women Are Running For Office On Tuesday And They’re Already Breaking Records      ,https://www.buzzfeednews.com/article/emaoconnor/record-number-women-candidates-democrats-election-emilys
BuzzFeedNews,        The Sanctions That Trump’s “Game Of Thrones” Tweet Warned About Have Arrived      ,https://www.buzzfeednews.com/article/emilytamkin/the-trump-administration-is-preparing-to-sanction-countries
BuzzFeedNews,        Forget The Polls — Minnesota’s Republicans Are Amped For Tuesday      ,https://www.buzzfeednews.com/article/henrygomez/midterm-elections-minnesota-republicans-trump
BuzzFeedNews,        He’s 88 Years Old, And Apparently A Threat To Everything On The Right      ,https://www.buzzfeednews.com/article/emilytamkin/soros-anti-semitism-orban-putin-trump
BuzzFeedNews,        Hillary Clinton Isn’t On The Ballot. But Donald Trump Is Still Campaigning Against Her Like It’s 2016.      ,https://www.buzzfeednews.com/article/tariniparti/hillary-clinton-isnt-on-the-ballot-but-donald-trump-is
BuzzFeedNews,        Georgia’s Republican Candidate For Governor Says Democrats Hacked Him. He’s Made False Accusations In The Past.      ,https://www.buzzfeednews.com/article/kevincollier/brian-kemp-georgia-democrats-hack
BuzzFeedNews,        One Of The Top Candidates For Democratic Leadership Has A Plan To Work With Republicans      ,https://www.buzzfeednews.com/article/lissandravilla/democrats-house-leadership-cheri-bustos-bipartisanship-trump
WallStreetJournal,Amazon Plans to Split HQ2 Evenly Between Two Cities,https://www.wsj.com/articles/amazon-plans-to-split-hq2-evenly-between-two-cities-1541446552
WallStreetJournal,Endless Brexit Debate Puts Much of U.K. Government in Holding Pattern,https://www.wsj.com/articles/endless-brexit-debate-puts-much-of-u-k-government-in-holding-pattern-1541445736
WallStreetJournal,Iran Vows to ‘Break’ Sanctions as U.S. Reimposes Ban on Oil,https://www.wsj.com/articles/u-s-re-imposes-sanctions-against-iran-oil-banking-and-shipping-sectors-1541425059
WallStreetJournal,Trophy Infrastructure, Troublesome Debt: China Makes Inroads in Europe,https://www.wsj.com/articles/chinas-newest-bid-for-influence-runs-through-the-wests-backyard-1541435003
WallStreetJournal,Trump, Obama Make Final Pitches on Eve of Midterm Elections,https://www.wsj.com/articles/trump-obama-make-final-pitches-on-eve-of-midterm-elections-1541445110
